id,line,route_id,vehicle_type,bearing,delay,longitude,latitude,last_update
21226,405,405,4,315,0,16.491396,49.181545,2025-03-09T07:51:29.701Z
21916,819,301,4,0,0,16.056721,48.8517,2025-03-09T07:51:29.701Z
21780,231,206,4,270,0,16.753613,49.3592,2025-03-09T07:51:29.701Z
1810,5,4016,0,135,0,16.598152,49.164429,2025-03-09T07:51:29.701Z
31005,S2,4712,5,225,0,16.613419,49.190651,2025-03-09T07:51:29.701Z
7069,40,4014,2,270,1,16.598234,49.172714,2025-03-09T07:51:29.701Z
7102,67,4014,2,225,4,16.574169,49.218895,2025-03-09T07:51:29.701Z
21810,510,105,4,180,0,16.512098,49.108868,2025-03-09T07:51:29.701Z
3317,36,4018,1,315,0,16.57303,49.219109,2025-03-09T07:51:29.701Z
21106,505,403,4,0,1,16.616169,49.040459,2025-03-09T07:51:29.702Z
21498,802,306,4,315,0,16.058514,48.859055,2025-03-09T07:51:29.702Z
7735,42,4009,2,90,0,16.578377,49.262897,2025-03-09T07:51:29.702Z
21227,816,305,4,225,0,16.057013,48.851959,2025-03-09T07:51:29.702Z
30459,S91,22752,5,225,0,17.242657,48.871368,2025-03-09T07:51:29.702Z
7536,65,4003,2,270,1,16.578678,49.230934,2025-03-09T07:51:29.702Z
21582,336,107,4,270,2,16.358431,49.36105,2025-03-09T07:51:29.702Z
21789,804,311,4,270,1,16.047327,48.873047,2025-03-09T07:51:29.702Z
1945,3,4028,0,135,0,16.518961,49.225552,2025-03-09T07:51:29.702Z
7828,E76,4011,2,90,0,16.692343,49.154873,2025-03-09T07:51:29.703Z
3321,30,4016,1,0,0,16.622787,49.256958,2025-03-09T07:51:29.701Z
1903,3,4021,0,225,0,16.641293,49.202816,2025-03-09T07:51:29.701Z
21730,224,222,4,90,0,16.622301,49.356907,2025-03-09T07:51:29.701Z
21597,803,306,4,45,0,16.058702,48.853294,2025-03-09T07:51:29.701Z
21875,109,606,4,270,1,16.893484,48.993496,2025-03-09T07:51:29.702Z
21120,813,201,4,0,0,16.056911,48.851837,2025-03-09T07:51:29.702Z
21052,233,262,4,180,3,16.727449,49.425182,2025-03-09T07:51:29.702Z
1823,4,4022,0,45,0,16.618401,49.197777,2025-03-09T07:51:29.702Z
21669,934,261,4,315,0,17.372255,48.944145,2025-03-09T07:51:29.702Z
3324,37,4012,1,180,0,16.567171,49.177101,2025-03-09T07:51:29.702Z
30019,S41,4407,5,135,0,16.544186,49.16497,2025-03-09T07:51:29.703Z
7054,69,4009,2,-1,0,16.525829,49.176571,2025-03-09T07:51:29.703Z
3065,32,4002,1,270,0,16.604752,49.198414,2025-03-09T07:51:29.703Z
31027,S3,4967,5,180,0,16.605379,49.092686,2025-03-09T07:51:29.703Z
31016,S3,4921,5,315,0,16.417723,49.347328,2025-03-09T07:51:29.703Z
1929,9,4022,0,315,0,16.607162,49.197941,2025-03-09T07:51:29.703Z
1850,5,4012,0,0,0,16.594288,49.189468,2025-03-09T07:51:29.703Z
7061,84,4015,2,135,1,16.599089,49.226814,2025-03-09T07:51:29.703Z
7094,57,4016,2,315,0,16.627474,49.236687,2025-03-09T07:51:29.703Z
